frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,0,0.127333,1.80642,0.388083,0.000209,2.32204
1,4.2e-05,0.096125,1.87204,0.402917,0.000625,2.37175
2,0,0.104334,1.47283,3.71163,0.000333,5.28913
3,8.3e-05,0.120667,1.71521,0.410792,0.000583,2.24733
4,4.2e-05,0.120208,1.62512,0.400959,0.000208,2.14654
5,0,0.10575,1.484,0.3895,0.000375,1.97962
6,0,0.099875,1.48142,0.523834,0.002291,2.10742
7,0.000125,0.173208,1.64792,0.446416,0.000625,2.26829
8,0,0.11875,1.61883,1.48629,0.001292,3.22517
9,0,0.164166,1.68592,0.442875,0.001,2.29396
10,4.2e-05,0.116541,1.58787,0.495292,0.000333,2.20008
11,0.000125,0.125084,1.39958,0.388792,0.000541,1.91413
12,4.1e-05,0.101292,1.60583,0.384459,0.000375,2.092
13,0.000125,0.097416,1.41821,0.444708,0.000792,1.96125
14,0.000458,0.147334,1.40254,0.593042,0.0005,2.14387
15,4.2e-05,0.129292,1.58163,0.393541,0.000709,2.10521
16,8.3e-05,0.106459,1.41742,0.384125,0.000375,1.90846
17,4.2e-05,0.100125,1.57888,0.382583,0.000209,2.06183
18,0,0.10275,1.43354,0.426,0.00025,1.96254
19,0,0.112625,1.80496,0.394916,0.000917,2.31342
20,0.000125,0.102959,1.36254,0.561709,0.000333,2.02767
21,0,0.108875,1.25121,0.371417,0.000333,1.73183
22,0,0.092625,1.38383,0.365292,0.000208,1.84196
23,0,0.087875,1.35075,0.434333,0.000458,1.87342
24,0,0.1245,1.26146,0.398,0.000542,1.7845
25,0,0.0975,1.17654,0.369333,0.0005,1.64387
26,0,0.08825,1.15746,0.521542,0.000833,1.76808
27,0,0.151792,1.31608,0.440875,0.000333,1.90908
28,0,0.119125,1.60767,0.404208,0.0005,2.1315
29,0,0.104792,1.25604,0.371917,0.000375,1.73313
30,4.1e-05,0.098792,1.44208,0.37875,0.000709,1.92037
31,0,0.118208,1.56904,0.38425,0.000416,2.07192
32,4.1e-05,0.110125,1.43204,0.499042,0.000541,2.04179
33,4.2e-05,0.119291,1.30871,0.374625,0.00025,1.80292
34,0,0.09975,1.19562,0.37325,0.000166,1.66879
35,0,0.092209,1.44408,0.379958,0.000417,1.91667
36,4.2e-05,0.104083,1.45546,0.414083,0.000375,1.97404
37,4.2e-05,0.118292,1.30008,0.389542,0.000125,1.80808
38,0,0.113291,1.24004,0.492458,0.000292,1.84608
39,0,0.101334,1.20208,0.379417,0.00025,1.68308
40,0,0.0925,1.20575,0.371375,0.000125,1.66975
41,0,0.090375,1.35754,0.478833,0.000167,1.92692
42,0,0.106792,1.2125,0.370875,0.000542,1.69071
43,4.2e-05,0.091291,1.16162,0.3575,0.000292,1.61075
44,0,0.087208,1.14133,0.473958,0.0005,1.703
45,4.2e-05,0.110542,1.25896,0.416625,0.000292,1.78646
46,4.2e-05,0.113583,1.43958,0.430041,0.000334,1.98358
47,0,0.109708,1.26446,0.371834,0.000166,1.74617
48,0,0.096833,1.18729,0.359333,0.000458,1.64392
49,0,0.088917,1.31892,0.416042,0.000333,1.82421
50,4.2e-05,0.09625,1.68079,0.501708,0.000375,2.27917
51,0,0.121375,1.32567,0.39225,0.000292,1.83958
52,4.1e-05,0.097417,1.19063,0.365292,8.3e-05,1.65346
53,4.1e-05,0.093792,1.17579,0.393375,0.000166,1.66317
54,0,0.093792,1.19263,0.352208,4.2e-05,1.63867
55,4.2e-05,0.082958,1.33583,0.375125,0.00025,1.79421
56,0,0.102042,1.19033,0.480292,0.000333,1.773
57,0,0.099375,1.18629,0.369125,4.1e-05,1.65483
58,0,0.092916,1.16538,0.373417,0.00025,1.63196
59,4.2e-05,0.099417,1.27763,0.377666,0.000125,1.75487
60,4.2e-05,0.096125,1.2935,0.536792,0.000125,1.92658
61,0.000125,0.185333,1.30221,0.362667,0.000375,1.85071
62,4.2e-05,0.090541,1.16317,0.474708,0.000167,1.72863
63,0,0.088042,1.19687,0.379541,0.000167,1.66463
64,0,0.0915,1.20058,0.422375,8.3e-05,1.71454
65,0,0.106292,1.2735,0.366458,0.000584,1.74683
66,4.2e-05,0.087208,1.18329,0.367583,0.000209,1.63833
67,4.1e-05,0.096167,1.26833,0.43225,0.000167,1.79696
68,4.2e-05,0.105,1.189,0.445167,0.000291,1.7395
69,0,0.095209,1.23658,0.382792,0.000291,1.71487
70,0,0.102583,1.52967,0.436,0.000958,2.06921
71,0,0.137041,1.19025,0.369334,0.000166,1.69679
72,4.2e-05,0.092541,1.15688,0.352584,8.3e-05,1.60213
73,0,0.090583,1.20687,0.342209,0.000208,1.63987
74,8.3e-05,0.080459,1.31062,0.492333,0.000417,1.88392
75,8.3e-05,0.118708,1.26092,0.3845,0.000167,1.76438
76,0,0.093667,1.19021,0.3655,0.000333,1.64971
77,4.2e-05,0.092042,1.16767,0.397167,0.000458,1.65738
78,0,0.110042,1.26487,0.456542,0.000208,1.83167
79,0,0.100458,1.35421,0.3735,0.000125,1.82829
80,0,0.094459,1.16792,0.452375,0.00025,1.715
81,0,0.08775,1.17008,0.361583,0.000125,1.61954
82,0,0.090084,1.26612,0.379583,0.000125,1.73592
83,0.000125,0.094625,1.17863,0.4025,0.000125,1.676
84,4.1e-05,0.138834,1.31396,0.377458,4.2e-05,1.83033
85,0,0.093584,1.18521,0.361875,0.000125,1.64079
86,0,0.093,1.16775,0.456583,0.000292,1.71762
87,0,0.08875,1.22513,0.373625,0.000334,1.68783
88,4.2e-05,0.098833,1.23929,0.434167,0.000416,1.77275
89,4.2e-05,0.108208,1.31871,0.367292,0.000167,1.79442
90,0,0.089833,1.44779,0.363708,8.4e-05,1.90142
91,0,0.0895,1.15708,0.353208,4.2e-05,1.59983
92,0,0.083167,1.21129,0.448334,0.000125,1.74292
93,0,0.089375,1.27012,0.413584,0.000125,1.77321
