frame,simulation_ms,ui_ms,render_ms,total_ms
0,12.3658,0.162208,2.94154,15.4695
1,13.8012,0.163084,2.24363,16.2079
2,12.0406,0.178583,2.52475,14.7439
3,13.9306,0.172,2.60483,16.7074
4,12.2884,0.199125,2.99646,15.484
5,13.6175,0.2085,2.39075,16.2167
6,11.8153,0.165458,2.21371,14.1945
7,13.6943,0.158625,2.56846,16.4214
8,12.169,0.163125,2.36304,14.6951
9,13.3183,0.163959,2.13275,15.615
10,11.9955,0.186459,2.65967,14.8416
11,13.3268,0.178834,2.20908,15.7147
12,11.769,0.176375,2.28229,14.2277
13,13.2201,0.166458,2.18346,15.57
14,12.2007,0.162708,3.18162,15.545
15,13.3707,0.171792,2.16371,15.7062
16,12.1316,0.177042,2.18412,14.4927
17,13.1767,0.249834,2.32629,15.7528
18,11.7863,0.169208,2.22479,14.1803
19,14.0524,0.170334,2.30512,16.5279
20,12.1439,0.172541,2.45554,14.772
21,13.467,0.169334,2.11654,15.7529
22,12.122,0.171041,2.17225,14.4653
23,13.3033,0.192667,2.728,16.224
24,12.3687,0.17,2.72729,15.266
25,13.1577,0.179709,2.38042,15.7178
26,12.3178,0.165167,2.20363,14.6866
27,13.8513,0.170458,2.69537,16.7171
28,12.45,0.166166,2.14254,14.7587
29,13.3259,0.192625,2.13854,15.657
30,11.7078,0.168667,2.92338,14.7998
31,13.0689,0.211708,2.38092,15.6615
32,12.0093,0.164875,2.2345,14.4087
33,13.4937,0.164,2.20167,15.8594
34,11.9471,0.180708,2.17592,14.3038
35,14.2825,0.182416,2.56333,17.0282
36,12.2635,0.213209,2.912,15.3887
37,14.1327,0.192,2.46046,16.7851
38,11.6666,0.172,2.33554,14.1741
39,13.1671,0.169041,2.15154,15.4877
40,12.0226,0.164708,2.21496,14.4023
41,14.133,0.16675,2.30817,16.608
42,12.5811,0.173917,2.39513,15.1502
43,14.2813,0.185666,3.03487,17.5019
44,12.6259,0.162042,2.16754,14.9555
45,13.0514,0.186458,2.58971,15.8275
46,12.0565,0.166791,2.61221,14.8355
47,13.6676,0.175208,2.12383,15.9667
48,12.5502,0.164292,2.75071,15.4652
49,13.9302,0.163084,2.22779,16.3211
50,12.0921,0.176625,2.52004,14.7888
51,13.4785,0.172875,2.59242,16.2438
52,11.9265,0.167584,2.60929,14.7034
53,12.7155,0.169666,2.21429,15.0994
54,12.4346,0.1695,2.54804,15.1522
55,14.1215,0.167209,2.48504,16.7737
56,13.1377,0.158708,2.23929,15.5357
57,13.2438,0.168458,2.14892,15.5611
58,11.8825,0.202292,2.30775,14.3925
59,12.8849,0.165042,2.70342,15.7533
60,11.9954,0.165417,2.30762,14.4684
61,13.3615,0.163417,2.18288,15.7078
62,12.2161,0.163541,2.35325,14.7329
63,13.7,0.175875,2.22683,16.1027
64,12.5346,0.18075,2.45996,15.1753
65,14.0438,0.189666,2.98358,17.217
66,12.1982,0.1635,2.67975,15.0415
67,12.98,0.165834,2.33396,15.4797
68,12.0073,0.162625,2.18662,14.3566
69,13.3553,0.164,2.19992,15.7192
70,12.114,0.173208,2.58708,14.8743
71,13.6396,0.168875,2.73979,16.5482
72,12.4471,0.220584,2.63358,15.3012
73,13.1817,0.161584,3.05008,16.3934
74,12.2585,0.168125,2.71946,15.1461
75,13.272,0.167667,2.61796,16.0576
76,12.1339,0.162208,2.21696,14.5131
77,12.9155,0.166208,2.3065,15.3882
78,12.2915,0.167083,2.75212,15.2107
79,13.4945,0.170875,2.21225,15.8776
80,11.9101,0.164667,2.76458,14.8393
81,13.0988,0.172583,2.16775,15.4392
82,11.9374,0.169,2.14646,14.2529
83,13.4377,0.1635,2.67025,16.2715
