frame,input_ms,ui_ms,draw_ms,total_ms
0,0.012042,0.049708,1.07604,1.13779
1,0.009875,0.0465,1.00208,1.05846
2,0.014083,0.040708,1.01267,1.06746
3,0.008709,0.039166,2.49812,2.546
4,0.011167,0.042625,1.01188,1.06567
5,0.007833,0.042792,1.09354,1.14417
6,0.012291,0.045875,1.05963,1.11779
7,0.008083,0.039875,0.970167,1.01812
8,0.01025,0.037875,1.04704,1.09517
9,0.009959,0.047291,1.01779,1.07504
10,0.0095,0.035125,0.976125,1.02075
11,0.007458,0.034167,1.34854,1.39017
12,0.012292,0.039625,0.962291,1.01421
13,0.008542,0.037958,1.00046,1.04696
14,0.009458,0.036,1.06104,1.1065
15,0.008708,0.042875,1.00742,1.059
16,0.01025,0.037917,1.08179,1.12996
17,0.007833,0.035042,0.941583,0.984458
18,0.008875,0.034125,1.13721,1.18021
19,0.008459,0.038,0.98925,1.03571
20,0.0095,0.036583,0.931208,0.977291
21,0.008167,0.037291,0.863417,0.908875
22,0.010208,0.03475,0.900375,0.945333
23,0.009125,0.03975,0.902167,0.951042
24,0.008833,0.036959,0.903,0.948792
25,0.007375,0.037833,0.946292,0.9915
26,0.008916,0.034334,0.90125,0.9445
27,0.007,0.0345,0.88525,0.92675
28,0.008583,0.033334,0.858666,0.900583
29,0.007042,0.038042,0.952833,0.997917
30,0.01125,0.04475,0.911458,0.967458
31,0.007167,0.036542,0.94175,0.985459
32,0.009167,0.034583,0.913792,0.957542
33,0.0075,0.034667,1.07154,1.11371
34,0.013083,0.03525,0.981208,1.02954
35,0.007791,0.040542,0.88,0.928333
36,0.009084,0.036458,0.870708,0.91625
37,0.011084,0.03325,1.00121,1.04554
38,0.016375,0.044084,0.947,1.00746
39,0.010584,0.034125,0.887416,0.932125
40,0.010833,0.033959,0.947791,0.992583
41,0.006875,0.034417,0.869833,0.911125
42,0.008584,0.0335,0.8675,0.909584
43,0.007167,0.03325,0.882625,0.923042
44,0.008917,0.0335,0.867166,0.909583
45,0.006958,0.033417,0.936625,0.977
46,0.010208,0.0335,1.01729,1.061
47,0.0075,0.039208,1.04067,1.08737
48,0.009375,0.045792,0.933583,0.98875
49,0.007209,0.037083,0.880708,0.925
50,0.008708,0.033417,0.918875,0.961
51,0.007042,0.035916,0.959542,1.0025
52,0.014875,0.047291,0.942334,1.0045
53,0.007208,0.037209,0.926708,0.971125
54,0.012333,0.03725,0.927167,0.97675
55,0.007792,0.039083,1.03942,1.08629
56,0.010042,0.037,0.913916,0.960958
57,0.007125,0.035375,0.895709,0.938209
58,0.008959,0.034208,0.905875,0.949042
59,0.007292,0.034,0.889125,0.930417
60,0.008792,0.033958,0.923375,0.966125
61,0.007167,0.033875,0.923667,0.964709
62,0.008833,0.033292,0.985917,1.02804
63,0.006709,0.033875,0.975291,1.01588
64,0.009583,0.039208,0.882709,0.9315
65,0.007708,0.035458,0.912792,0.955958
66,0.008875,0.036875,0.907125,0.952875
67,0.007042,0.034291,0.902542,0.943875
68,0.012458,0.035667,0.884666,0.932791
69,0.008625,0.033333,0.963625,1.00558
70,0.008917,0.03375,0.923,0.965667
71,0.009791,0.041584,0.944291,0.995666
72,0.011083,0.036459,0.976875,1.02442
73,0.007625,0.0345,0.89725,0.939375
74,0.00875,0.033334,0.903291,0.945375
75,0.007,0.033292,0.894916,0.935208
76,0.008375,0.033083,0.91725,0.958708
77,0.00675,0.03325,1.03354,1.07354
78,0.011291,0.035042,0.916958,0.963291
79,0.007125,0.033375,0.879667,0.920167
80,0.008625,0.033167,0.956666,0.998458
81,0.00725,0.037708,0.957875,1.00283
82,0.0085,0.034125,0.931375,0.974
83,0.006792,0.033542,0.886541,0.926875
84,0.008792,0.032916,1.01167,1.05337
85,0.006875,0.034209,0.905791,0.946875
86,0.010875,0.042333,1.13317,1.18637
87,0.008375,0.04475,1.03608,1.08921
88,0.008292,0.033041,0.94825,0.989583
89,0.007167,0.043125,0.99,1.04029
90,0.011958,0.043084,0.961666,1.01671
91,0.008959,0.039541,0.935209,0.983709
92,0.009042,0.034042,0.881375,0.924459
93,0.006917,0.0335,0.902333,0.94275
94,0.011458,0.033292,0.900708,0.945458
95,0.007375,0.033167,0.898833,0.939375
96,0.0085,0.032917,0.887875,0.929292
97,0.009208,0.036083,1.01246,1.05775
98,0.009584,0.038166,0.938834,0.986584
99,0.007416,0.034709,1.0175,1.05963
100,0.00875,0.034291,0.926917,0.969958
101,0.010334,0.036166,0.920292,0.966792
102,0.010583,0.034,0.909125,0.953708
103,0.008875,0.033708,0.927167,0.96975
104,0.008583,0.032875,0.870167,0.911625
105,0.006792,0.032875,1.069,1.10867
106,0.009625,0.03875,1.02588,1.07425
107,0.007083,0.034792,0.963833,1.00571
108,0.008708,0.033667,0.905792,0.948167
109,0.007542,0.033125,0.891125,0.931792
110,0.008541,0.033625,0.896792,0.938958
111,0.007,0.033458,0.899875,0.940333
112,0.008625,0.033542,0.875208,0.917375
113,0.006916,0.033084,0.966166,1.00617
114,0.00875,0.034958,0.965875,1.00958
115,0.008625,0.038083,0.927,0.973708
116,0.009167,0.034417,0.880333,0.923917
117,0.007709,0.0335,0.895208,0.936417
118,0.016917,0.034208,0.936917,0.988042
119,0.00675,0.034708,0.911709,0.953167
