frame,input_ms,ui_ms,draw_ms,total_ms
0,0.011875,0.038625,1.01125,1.06175
1,0.009208,0.0435,0.971958,1.02467
2,0.01375,0.0415,0.963958,1.01921
3,0.008209,0.034916,2.43454,2.47767
4,0.015292,0.058958,1.03154,1.10579
5,0.008292,0.039792,0.988291,1.03638
6,0.011834,0.035958,1.00133,1.04913
7,0.008542,0.038375,1.06462,1.11154
8,0.0095,0.036167,0.975875,1.02154
9,0.007459,0.034708,0.966292,1.00846
10,0.009958,0.034167,1.00113,1.04525
11,0.008417,0.046125,1.48583,1.54038
12,0.013167,0.047083,0.959375,1.01963
13,0.01025,0.036625,0.99375,1.04062
14,0.010083,0.036958,1.05342,1.10046
15,0.007375,0.035917,0.962541,1.00583
16,0.012458,0.036458,0.955667,1.00458
17,0.009292,0.035458,0.952833,0.997583
18,0.009541,0.035584,1.08433,1.12946
19,0.008083,0.037542,1.00696,1.05258
20,0.009459,0.036333,0.927125,0.972917
21,0.007292,0.03475,0.936458,0.9785
22,0.017,0.039542,1.00379,1.06033
23,0.010791,0.043959,0.961291,1.01604
24,0.009167,0.03475,0.87975,0.923667
25,0.007083,0.03425,0.990625,1.03196
26,0.009375,0.037042,1.04679,1.09321
27,0.008458,0.044667,0.971625,1.02475
28,0.009292,0.039458,0.930458,0.979208
29,0.00775,0.038916,0.959792,1.00646
30,0.010959,0.042,1.03963,1.09258
31,0.007542,0.044791,0.986167,1.0385
32,0.009125,0.036667,0.904125,0.949917
33,0.007375,0.034333,1.02358,1.06529
34,0.009208,0.038667,1.0325,1.08038
35,0.008459,0.039625,0.938333,0.986417
36,0.012,0.035666,0.871334,0.919
37,0.007541,0.035125,0.914084,0.95675
38,0.009459,0.03425,0.920333,0.964042
39,0.007416,0.036834,0.990541,1.03479
40,0.00925,0.036041,0.951709,0.997
41,0.00725,0.037333,0.91425,0.958833
42,0.009125,0.034041,0.897709,0.940875
43,0.006958,0.034125,0.923875,0.964958
44,0.009583,0.036292,1.03058,1.07646
45,0.012667,0.043375,0.909583,0.965625
46,0.011458,0.039542,0.935625,0.986625
47,0.007334,0.03425,0.938666,0.98025
48,0.009542,0.0355,0.917708,0.96275
49,0.007,0.034041,0.912,0.953041
50,0.008833,0.03425,0.898459,0.941542
51,0.007666,0.041625,0.886,0.935291
52,0.00975,0.037916,1.03158,1.07925
53,0.007917,0.041708,0.8785,0.928125
54,0.013542,0.041708,0.89475,0.95
55,0.007416,0.034584,0.983208,1.02521
56,0.009417,0.034958,0.909334,0.953709
57,0.007292,0.034667,1.03083,1.07279
58,0.01375,0.041708,0.984,1.03946
59,0.010625,0.0385,0.962958,1.01208
60,0.01075,0.039208,0.99,1.03996
61,0.008584,0.042541,0.959375,1.0105
62,0.009916,0.037292,1.06446,1.11167
63,0.007875,0.038667,0.913583,0.960125
64,0.008875,0.034042,0.887958,0.930875
65,0.007209,0.034458,0.898,0.939667
66,0.009166,0.033875,0.873459,0.9165
67,0.006875,0.033625,0.950042,0.990542
68,0.012166,0.037417,0.993667,1.04325
69,0.00725,0.035167,0.958167,1.00058
70,0.009166,0.034167,0.924917,0.96825
71,0.006917,0.034083,0.904583,0.945583
72,0.008791,0.0335,0.868875,0.911166
73,0.007416,0.033584,0.885583,0.926583
74,0.008708,0.0335,0.941375,0.983583
75,0.008375,0.033875,0.920667,0.962917
76,0.008584,0.033291,0.992584,1.03446
77,0.007583,0.035917,1.02788,1.07137
78,0.0095,0.038958,0.929959,0.978417
79,0.00725,0.033917,0.917625,0.958792
80,0.008709,0.033916,0.9315,0.974125
81,0.007042,0.034083,0.917292,0.958417
82,0.009583,0.033792,0.912792,0.956167
83,0.006834,0.034375,0.94225,0.983459
84,0.008875,0.034666,1.02854,1.07208
85,0.007833,0.037958,0.968667,1.01446
86,0.01,0.043916,1.00046,1.05438
87,0.00975,0.042333,0.993292,1.04537
88,0.009125,0.0365,0.899958,0.945583
89,0.007292,0.034791,0.901959,0.944042
90,0.009958,0.036083,0.982917,1.02896
91,0.007167,0.038625,1.03375,1.07954
92,0.0095,0.036167,0.987958,1.03363
93,0.007291,0.035375,1.24104,1.28371
94,0.012417,0.0395,0.937542,0.989459
95,0.00775,0.035167,0.924458,0.967375
96,0.008625,0.033875,0.934667,0.977167
97,0.007084,0.034666,0.914084,0.955834
98,0.00875,0.033917,0.893917,0.936584
99,0.007042,0.034125,1.05521,1.09638
100,0.013333,0.035042,1.09879,1.14717
101,0.007125,0.034375,1.01642,1.05792
102,0.009333,0.036875,1.02392,1.07012
103,0.007583,0.038542,0.951541,0.997666
104,0.00925,0.034167,0.9865,1.02992
105,0.008583,0.036583,1.00029,1.04546
106,0.009875,0.037209,1.15229,1.19938
107,0.007667,0.040375,0.983,1.03104
108,0.009,0.035417,0.928,0.972417
109,0.006959,0.034041,0.915292,0.956292
110,0.009416,0.036584,1.11425,1.16025
111,0.008,0.0415,1.01238,1.06187
112,0.01,0.037542,0.93775,0.985292
113,0.007416,0.035834,1.01783,1.06108
114,0.009208,0.0345,0.942625,0.986333
115,0.007084,0.036708,0.927458,0.97125
116,0.008875,0.034042,0.943583,0.9865
117,0.007042,0.035583,0.920709,0.963334
118,0.031958,0.036,1.06079,1.12875
119,0.010125,0.051375,0.996292,1.05779
