frame,simulation_ms,ui_ms,render_ms,total_ms
0,2.59108,0.118875,2.02246,4.73242
1,2.93938,0.120667,2.52937,5.58942
2,2.65367,0.115708,2.19767,4.96704
3,2.81312,0.112708,1.93671,4.86254
4,2.75208,0.113542,1.94112,4.80675
5,2.83567,0.11025,2.01863,4.96454
6,2.652,0.12275,1.89775,4.6725
7,2.82713,0.103084,4.59475,7.52496
8,2.57775,0.113875,1.88821,4.57983
9,2.97842,0.119958,1.88975,4.98813
10,2.58792,0.101625,2.31887,5.00842
11,2.80475,0.111083,1.94292,4.85875
12,2.69937,0.112375,1.95213,4.76387
13,2.8625,0.103916,5.15929,8.12571
14,2.67821,0.144625,1.65979,4.48262
15,2.93296,0.1155,1.646,4.69446
16,2.59337,0.101375,1.86971,4.56446
17,2.92946,0.113833,1.871,4.91429
18,2.56142,0.09975,1.95771,4.61888
19,2.82592,0.114083,1.75825,4.69825
20,2.65767,0.130625,1.80929,4.59758
21,2.8835,0.10875,1.70342,4.69567
22,2.71325,0.104875,1.63179,4.44992
23,2.74117,0.109917,1.64196,4.49304
24,2.73367,0.116458,1.66883,4.51896
25,2.76304,0.111375,6.71221,9.58662
26,2.52179,0.112917,1.74758,4.38229
27,2.76938,0.107916,1.63221,4.5095
28,2.59063,0.095542,1.77212,4.45829
29,2.69979,0.108417,1.63521,4.44342
30,2.68733,0.120625,1.91729,4.72525
31,2.79892,0.10225,1.83646,4.73763
32,2.80342,0.11075,1.64758,4.56175
33,2.82613,0.097917,1.61242,4.53646
34,2.61971,0.113958,1.6435,4.37717
35,2.77846,0.100084,1.71583,4.59438
36,2.60225,0.103,1.8655,4.57075
37,2.77425,0.1005,1.87267,4.74742
38,2.62571,0.112541,1.60642,4.34467
39,2.88029,0.125459,1.74525,4.751
40,2.52958,0.102959,1.7025,4.33504
41,2.90229,0.113916,1.69504,4.71125
42,2.47858,0.105209,1.67379,4.25758
43,2.89967,0.114125,7.38162,10.3954
44,2.56054,0.112916,1.67679,4.35025
45,2.82808,0.09975,1.85258,4.78042
46,2.55533,0.114542,1.62708,4.29696
47,2.76567,0.115667,1.73287,4.61421
48,2.54442,0.101708,1.68437,4.3305
49,2.87521,0.123416,1.88938,4.888
50,2.53267,0.123333,1.97875,4.63475
51,2.88608,0.112041,1.66308,4.66121
52,2.508,0.09775,1.66379,4.26954
53,2.87958,0.111542,1.63662,4.62775
54,2.5295,0.100875,1.80158,4.43196
55,2.73208,0.111542,1.77946,4.62308
