frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,1.19837,0.505875,1.41254,0.377125,0.000209,3.49412
1,1.21775,0.521917,1.58054,0.461875,0.000292,3.78238
2,1.246,0.523542,1.17354,0.357,0.000167,3.30025
3,1.21575,0.514958,1.20517,0.434042,0.002541,3.37246
4,1.42042,0.536125,1.19658,0.372209,0.00025,3.52558
5,1.198,0.510458,1.18196,0.370791,4.2e-05,3.26125
6,1.30508,0.561667,1.20558,0.367417,0.00025,3.44
7,1.21146,0.504459,1.16167,0.4925,0.000209,3.37029
8,1.24063,0.528584,1.22437,0.41575,0.000166,3.4095
9,1.27254,0.510041,1.17962,0.359125,0.000459,3.32179
10,1.24329,0.537125,1.49554,0.369583,0.000209,3.64575
11,1.41304,0.574291,1.21863,0.378375,0.000334,3.58467
12,1.19837,0.501,1.188,0.352584,0.000541,3.2405
13,1.26887,0.507209,1.41904,0.515834,0.000375,3.71133
14,1.29025,0.523375,1.16858,0.355958,0.000458,3.33862
15,1.25575,0.498959,1.27633,0.389292,0.000333,3.42067
16,1.39971,0.531875,1.19975,0.363166,0.0005,3.495
17,1.23562,0.509917,1.18087,0.358917,0.000208,3.28554
18,1.228,0.546709,1.29238,0.372458,8.3e-05,3.43962
19,1.22171,0.51325,1.17863,0.447209,0.000291,3.36108
20,1.24821,0.534958,1.30671,0.426083,0.000542,3.5165
21,1.24046,0.529791,1.21579,0.365125,0.000167,3.35133
22,1.23371,0.494666,1.20396,0.375208,0.00025,3.30779
23,1.266,0.552292,1.31921,0.376709,0.000291,3.5145
24,1.24192,0.513375,1.17779,0.351917,0.000166,3.28517
25,1.21367,0.521042,1.26858,0.620583,0.000375,3.62425
26,1.30329,0.520666,1.1765,0.361875,0.0005,3.36283
27,1.21875,0.507375,1.21454,0.3555,0.000625,3.29679
28,1.36567,0.588292,1.19788,0.376375,0.000208,3.52842
29,1.25142,0.500791,1.16929,0.357875,0.000417,3.27979
30,1.2695,0.495458,1.59258,0.441667,0.000167,3.79937
31,1.26517,0.516292,1.16854,0.457916,0.0005,3.40842
32,1.28287,0.515333,1.2135,0.392333,0.000209,3.40425
33,1.34667,0.514958,1.18871,0.376917,0.00025,3.4275
34,1.24904,0.49875,1.26296,0.362125,0.000709,3.37358
35,1.26508,0.537833,1.45442,0.403042,0.000166,3.66054
36,1.25788,0.51125,1.17121,0.355583,0.00025,3.29617
37,1.28375,0.511916,1.21358,0.490291,0.001375,3.50092
38,1.40108,0.528542,1.19654,0.363041,0.000209,3.48942
39,1.32042,0.525875,1.19017,0.362208,0.000167,3.39883
40,1.32763,0.64725,1.26588,0.392167,8.3e-05,3.633
41,1.25438,0.503125,1.24533,0.379208,0.000209,3.38225
42,1.2825,0.495917,1.33875,0.384583,0.00025,3.502
43,1.30229,0.532291,1.17233,0.517,0.000875,3.52479
44,1.33242,0.513166,1.19771,0.388375,0.000333,3.432
45,1.37833,0.516292,1.15275,0.360333,0.000167,3.40788
46,1.23887,0.491458,1.23917,0.355667,0.00025,3.32542
47,1.2855,0.5395,1.37538,0.381792,4.1e-05,3.58221
48,1.29129,0.503375,1.16879,0.357834,0.000208,3.3215
49,1.29854,0.505375,1.20863,0.50675,0.000709,3.52
50,1.3785,0.518459,1.49412,0.395958,0.00025,3.78729
51,1.26479,0.545292,1.24854,0.373584,0.00025,3.43246
52,1.40375,0.581583,1.20783,0.373416,0.000167,3.56675
53,1.27375,0.498166,1.19296,0.381625,0.00025,3.34675
54,1.31838,0.495333,1.34563,0.379625,0.000292,3.53925
55,1.26996,0.512,1.17983,0.447917,0.000375,3.41008
56,1.30858,0.520292,1.20658,0.402959,0.000333,3.43875
57,1.40083,0.518833,1.22054,0.366958,0.00025,3.50742
58,1.27004,0.490708,1.21304,0.356791,0.000459,3.33104
59,1.29071,0.540917,1.37929,0.375833,0.000208,3.58696
60,1.27275,0.513542,1.17633,0.354542,0.000125,3.31729
61,1.48246,0.550791,1.40033,0.525541,0.000334,3.95946
62,1.35638,0.531375,1.18283,0.363041,0.000417,3.43404
63,1.33083,0.515875,1.20042,0.381416,0.000292,3.42883
64,1.51983,0.559084,1.19308,0.359792,0.000208,3.632
65,1.31333,0.498375,1.19437,0.3715,0.000166,3.37775
66,1.29921,0.526458,1.30946,0.405542,4.2e-05,3.54071
67,1.31183,0.512875,1.17858,0.447916,0.000167,3.45138
68,1.31246,0.524917,1.21079,0.428166,0.000459,3.47679
69,1.30313,0.535583,1.247,0.407917,0.00025,3.49388
70,1.29492,0.495375,1.45,0.359916,0.00025,3.60046
71,1.51392,0.581125,1.30383,0.384833,0.000334,3.78404
72,1.28725,0.502667,1.21687,0.371166,4.2e-05,3.378
73,1.32812,0.505416,1.39025,0.47475,4.2e-05,3.69858
74,1.34225,0.51625,1.19046,0.385041,0.000209,3.43421
75,1.30617,0.500292,1.19446,0.401834,0.000416,3.40317
76,1.45496,0.517916,1.18279,0.358875,0.000292,3.51483
77,1.30729,0.493166,1.18346,0.431958,4.2e-05,3.41592
78,1.39129,0.602291,1.19867,0.36625,0.00025,3.55875
79,1.33429,0.494708,1.18037,0.549417,0.000292,3.55908
80,1.34754,0.501084,1.35529,0.372875,0.000209,3.577
81,1.33183,0.509167,1.17533,0.354333,0.000209,3.37087
82,1.29942,0.547375,1.21071,0.361083,0.000167,3.41875
83,1.54558,0.529792,1.21433,0.365084,0.000333,3.65512
84,1.29275,0.493209,1.2445,0.363708,0.000667,3.39483
85,1.35808,0.5495,1.33892,0.453458,0.000167,3.70012
86,1.33546,0.516792,1.16338,0.36625,0.000292,3.38217
87,1.37779,0.508584,1.27296,0.45925,0.00025,3.61883
88,1.41992,0.526084,1.18687,0.36225,0.00025,3.49538
89,1.38712,0.51975,1.20762,0.365083,0.000333,3.47992
90,1.475,0.515334,1.43983,0.362958,0.00025,3.79338
91,1.32092,0.492041,1.19121,0.44725,0.000166,3.45158
92,1.36917,0.554417,1.27275,0.414125,0.000125,3.61058
93,1.37692,0.516625,1.17792,0.349833,0.000542,3.42183
94,1.35925,0.512708,1.21579,0.397667,4.1e-05,3.48546
95,1.54462,0.519625,1.18954,0.361208,0.000417,3.61542
96,1.30992,0.496667,1.20108,0.356542,0.000375,3.36458
97,1.56196,0.565083,1.21367,0.523625,0.00025,3.86458
98,1.35517,0.509708,1.19863,0.369,0.000208,3.43271
99,1.39088,0.535292,1.31996,0.431417,4.2e-05,3.67758
100,1.36088,0.513875,1.1755,0.355208,0.000209,3.40567
101,1.34883,0.509417,1.19663,0.414,0.000208,3.46908
102,1.42929,0.514958,1.17358,0.358333,0.000208,3.47637
103,1.35371,0.506375,1.25908,0.477375,4.1e-05,3.59658
104,1.50975,0.526458,1.23338,0.380542,4.1e-05,3.65017
105,1.38604,0.493583,1.21942,0.382833,0.000167,3.48204
106,1.33933,0.501583,1.38342,0.401333,8.3e-05,3.62575
107,1.39083,0.517375,1.18596,0.362708,0.000292,3.45717
108,1.37025,0.503167,1.25496,0.397208,0.000792,3.52637
109,1.60654,0.519375,1.19379,0.449375,0.00025,3.76933
110,1.44479,0.5335,1.46729,0.365584,0.000208,3.81137
111,1.58779,0.554208,1.19738,0.36825,0.000167,3.70779
112,1.35221,0.495416,1.19063,0.388417,0.000125,3.42679
113,1.41433,0.541958,1.32329,0.384083,0.000167,3.66383
114,1.35646,0.501375,1.16433,0.35125,0.000208,3.37363
115,1.39496,0.507834,1.19867,0.524375,0.0005,3.62633
116,1.52817,0.52125,1.19546,0.373333,0.000209,3.61842
117,1.41117,0.497958,1.20213,0.362167,0.000416,3.47383
118,1.55867,0.517208,1.21629,0.367125,0.000291,3.65958
119,1.39654,0.496292,1.19979,0.381291,4.2e-05,3.47396
