frame,input_ms,ui_ms,draw_ms,total_ms
0,0.017292,0.059208,12.5742,12.6507
1,0.013958,0.063917,9.39333,9.47121
2,0.015833,0.057958,8.94442,9.01821
3,0.012416,0.064584,13.8612,13.9382
4,0.021833,0.079583,9.49158,9.593
5,0.012667,0.061833,8.42458,8.49908
6,0.014917,0.053541,8.4225,8.49096
7,0.012,0.060292,8.88346,8.95575
8,0.015041,0.060209,11.3993,11.4745
9,0.01575,0.066,9.25437,9.33612
10,0.013667,0.053333,12.1057,12.1727
11,0.011083,0.055375,9.38546,9.45192
12,0.014042,0.055833,10.8469,10.9168
13,0.017125,0.071458,9.68092,9.7695
14,0.014416,0.055334,9.14021,9.20996
15,0.012208,0.059459,9.7705,9.84217
16,0.014042,0.062708,9.24958,9.32633
17,0.012166,0.062209,9.17954,9.25392
18,0.014792,0.058125,12.1902,12.2631
19,0.011792,0.060166,8.0785,8.15046
20,0.016083,0.065542,11.9057,11.9874
21,0.010792,0.054042,7.77258,7.83742
22,0.013042,0.052542,8.13033,8.19592
23,0.010792,0.052917,8.31542,8.37913
24,0.012959,0.050083,7.48287,7.54592
25,0.009333,0.051542,7.77033,7.83121
26,0.013875,0.059,7.46671,7.53958
27,0.009792,0.0455,7.56212,7.61742
28,0.012375,0.052,11.6152,11.6795
29,0.011083,0.059208,7.88125,7.95154
30,0.014625,0.055334,11.2602,11.3302
31,0.010625,0.051125,7.90529,7.96704
32,0.013083,0.053709,8.49354,8.56033
33,0.010167,0.050542,7.52779,7.5885
34,0.013166,0.051709,7.62121,7.68608
35,0.00975,0.050958,8.20396,8.26467
36,0.013833,0.051834,11.2739,11.3395
37,0.010666,0.0515,7.55721,7.61937
38,0.013958,0.053083,11.6173,11.6843
39,0.01075,0.059417,7.68742,7.75758
40,0.014125,0.053917,7.763,7.83104
41,0.009417,0.049458,8.16483,8.22371
42,0.013334,0.050541,7.55917,7.62304
43,0.009834,0.049291,7.98629,8.04542
44,0.014,0.049,7.65262,7.71563
45,0.009542,0.050208,7.37133,7.43108
46,0.011708,0.048209,12.1118,12.1717
47,0.011458,0.056,7.86983,7.93729
48,0.014625,0.047917,11.1105,11.173
49,0.010167,0.050167,8.00821,8.06854
50,0.012167,0.049125,8.63312,8.69442
51,0.010625,0.050583,7.74413,7.80533
52,0.012375,0.049792,7.63442,7.69658
53,0.010333,0.048959,7.61442,7.67371
54,0.0115,0.047,8.11521,8.17371
55,0.011,0.054,8.35021,8.41521
56,0.013292,0.050417,11.0396,11.1033
57,0.010667,0.051,7.93262,7.99429
58,0.013125,0.049833,11.0705,11.1335
59,0.010958,0.05325,7.99162,8.05583
60,0.014792,0.051541,7.91442,7.98075
61,0.011167,0.055667,8.06129,8.12813
62,0.012625,0.04975,7.41329,7.47567
63,0.009625,0.048875,7.43883,7.49733
64,0.011084,0.048541,7.52908,7.58871
65,0.008917,0.046542,8.26171,8.31717
66,0.01225,0.049292,9.40708,9.46862
67,0.010125,0.050333,7.71537,7.77583
68,0.012625,0.050834,9.21575,9.27921
69,0.011,0.059083,7.42188,7.49196
70,0.011459,0.047333,7.77167,7.83046
71,0.010041,0.049959,7.55237,7.61238
72,0.011875,0.046042,8.33175,8.38967
73,0.011209,0.053666,7.65458,7.71946
74,0.012666,0.054917,7.49858,7.56617
75,0.009583,0.052625,8.40029,8.4625
76,0.012,0.053083,8.98488,9.04996
77,0.011167,0.052458,8.17379,8.23742
78,0.012875,0.04925,9.00808,9.07021
79,0.010458,0.050417,7.63071,7.69158
80,0.011625,0.046959,8.10163,8.16021
81,0.010458,0.051667,8.41413,8.47625
82,0.012833,0.04875,8.27367,8.33525
83,0.01075,0.055125,7.66379,7.72967
84,0.011917,0.048333,8.86787,8.92812
85,0.009875,0.049583,7.54892,7.60837
86,0.013042,0.048375,9.17033,9.23175
87,0.0105,0.049042,7.95167,8.01121
88,0.012458,0.051042,8.46288,8.52637
89,0.009875,0.048375,7.62271,7.68096
90,0.011583,0.047084,7.69987,7.75854
91,0.010084,0.063041,7.51071,7.58383
92,0.01125,0.048333,8.12758,8.18717
93,0.010875,0.052833,8.06588,8.12958
94,0.013417,0.059166,9.82696,9.89954
95,0.011,0.051666,7.75821,7.82088
96,0.011667,0.0475,11.7872,11.8463
97,0.010584,0.050666,7.77175,7.833
98,0.012125,0.048167,8.53796,8.59825
99,0.009208,0.049084,8.10746,8.16575
100,0.014875,0.045917,7.54779,7.60858
101,0.00975,0.048625,7.79629,7.85467
102,0.011875,0.049375,8.13575,8.197
103,0.010125,0.048042,7.90225,7.96042
104,0.012125,0.049292,12.5632,12.6246
105,0.010459,0.049291,7.98304,8.04279
106,0.013709,0.049625,9.41196,9.47529
107,0.010958,0.051333,8.06658,8.12888
108,0.013083,0.049667,7.61867,7.68142
109,0.010166,0.0525,7.46225,7.52492
110,0.01325,0.055875,7.72871,7.79783
111,0.011917,0.066,8.03604,8.11396
112,0.013333,0.051875,7.46333,7.52854
113,0.01025,0.050083,8.15488,8.21521
114,0.012667,0.050958,11.8926,11.9562
115,0.013292,0.055625,8.001,8.06992
116,0.015208,0.052083,11.9941,12.0614
117,0.010875,0.054167,8.05108,8.11613
118,0.013333,0.054292,8.55462,8.62225
119,0.010875,0.051458,8.26104,8.32338
