frame,input_ms,ui_ms,draw_ms,total_ms
0,0.009333,0.033542,1.11829,1.16117
1,0.008583,0.034334,1.11242,1.15533
2,0.009292,0.034292,1.22946,1.27304
3,0.00825,0.043834,4.61137,4.66346
4,0.018416,0.075334,1.14367,1.23742
5,0.012625,0.047667,1.09438,1.15467
6,0.018125,0.038375,1.12742,1.18392
7,0.009542,0.041625,1.255,1.30617
8,0.013541,0.043125,1.07088,1.12754
9,0.011916,0.048084,1.04379,1.10379
10,0.011417,0.041542,1.1095,1.16246
11,0.009,0.037,1.81529,1.86129
12,0.012875,0.040834,1.05075,1.10446
13,0.008583,0.03575,1.12462,1.16896
14,0.011166,0.037917,1.19771,1.24679
15,0.008041,0.042209,1.05133,1.10158
16,0.010208,0.035625,1.05083,1.09667
17,0.007792,0.035541,1.05387,1.09721
18,0.010375,0.03425,1.14237,1.187
19,0.008167,0.034166,1.09337,1.13571
20,0.009625,0.034333,1.06783,1.11179
21,0.00825,0.039375,1.00621,1.05383
22,0.016458,0.060958,1.06046,1.13787
23,0.007667,0.035958,1.09771,1.14133
24,0.009167,0.034041,1.02592,1.06913
25,0.007541,0.033417,1.17196,1.21292
26,0.009667,0.035291,1.07633,1.12129
27,0.007333,0.034125,1.06958,1.11104
28,0.009083,0.034708,1.17404,1.21783
29,0.00775,0.045792,1.09954,1.15308
30,0.009417,0.036292,1.05183,1.09754
31,0.007333,0.0345,1.05092,1.09275
32,0.009083,0.033583,1.05675,1.09942
33,0.007417,0.033333,2.10442,2.14517
34,0.009041,0.033084,1.01004,1.05217
35,0.007583,0.0425,1.03092,1.081
36,0.009417,0.037291,0.99825,1.04496
37,0.007583,0.034542,0.966792,1.00892
38,0.013917,0.034208,0.951542,0.999667
39,0.007375,0.033542,0.974208,1.01513
40,0.0085,0.0335,1.15733,1.19933
41,0.007042,0.034708,1.05579,1.09754
42,0.009042,0.033458,1.10554,1.14804
43,0.007417,0.037958,1.05883,1.10421
44,0.009,0.033792,1.02796,1.07075
45,0.011916,0.03325,1.03504,1.08021
46,0.008792,0.033958,1.05662,1.09937
47,0.007209,0.033291,1.03846,1.07896
48,0.009042,0.034083,1.00887,1.052
49,0.006917,0.033875,0.986917,1.02771
50,0.009375,0.033875,1.05004,1.09329
51,0.007375,0.044042,1.08867,1.14008
52,0.010167,0.038708,0.964958,1.01383
53,0.007375,0.033834,0.978791,1.02
54,0.013625,0.033584,0.99025,1.03746
55,0.0075,0.033709,1.0685,1.10971
56,0.009,0.03475,0.959125,1.00287
57,0.007208,0.03375,1.00417,1.04513
58,0.008875,0.040083,1.10433,1.15329
59,0.007917,0.045333,0.989959,1.04321
60,0.008875,0.03425,0.964834,1.00796
61,0.007792,0.034083,0.984084,1.02596
62,0.009042,0.0335,1.11925,1.16179
63,0.006875,0.034709,0.991625,1.03321
64,0.008833,0.033792,0.984375,1.027
65,0.008291,0.038709,0.992583,1.03958
66,0.009959,0.036708,1.08154,1.12821
67,0.007083,0.039459,1.02071,1.06725
68,0.008958,0.034792,0.977833,1.02158
69,0.007167,0.038042,1.03592,1.08112
70,0.01275,0.0345,0.997208,1.04446
71,0.007167,0.036,0.973167,1.01633
72,0.008709,0.037375,1.01158,1.05767
73,0.007208,0.033375,0.974708,1.01529
74,0.009042,0.034791,1.07396,1.11779
75,0.007334,0.039583,1.05067,1.09758
76,0.012875,0.040459,1.00396,1.05729
77,0.010708,0.034125,1.09096,1.13579
78,0.010958,0.03375,0.993917,1.03862
79,0.007084,0.033291,1.00083,1.04121
80,0.008666,0.033084,0.9955,1.03725
81,0.007625,0.033416,1.03304,1.07408
82,0.011417,0.037833,1.04167,1.09092
83,0.00725,0.035125,1.00812,1.0505
84,0.008875,0.034125,1.13242,1.17542
85,0.007125,0.034333,0.994875,1.03633
86,0.008875,0.033875,0.988917,1.03167
87,0.007292,0.032958,0.980708,1.02096
88,0.008375,0.033583,1.00554,1.0475
89,0.007125,0.033417,1.024,1.06454
90,0.008958,0.039542,1.07021,1.11871
91,0.007375,0.036042,1.14062,1.18404
92,0.015709,0.035166,1.03204,1.08292
93,0.008833,0.034375,0.977667,1.02087
94,0.0095,0.033292,0.985083,1.02788
95,0.007291,0.033084,1.02079,1.06117
96,0.008583,0.038459,0.99625,1.04329
97,0.007083,0.033167,1.08621,1.12646
98,0.013084,0.04075,1.04242,1.09625
99,0.010917,0.035416,1.14508,1.19142
100,0.009833,0.035583,1.02496,1.07038
101,0.007084,0.034208,1.02071,1.062
102,0.011542,0.03375,0.980583,1.02588
103,0.01275,0.04275,1.00608,1.06158
104,0.009,0.033625,1.03129,1.07392
105,0.007417,0.035416,1.10196,1.14479
106,0.01275,0.040416,1.12471,1.17788
107,0.006958,0.036709,0.998958,1.04262
108,0.008625,0.033875,0.992583,1.03508
109,0.007584,0.033333,0.974458,1.01537
110,0.008458,0.033167,1.01446,1.05608
111,0.007209,0.034833,0.989792,1.03183
112,0.009,0.033333,1.02692,1.06925
113,0.006958,0.036375,1.14842,1.19175
114,0.010459,0.038541,1.02858,1.07758
115,0.007417,0.035083,1.00562,1.04812
116,0.008666,0.034417,0.98625,1.02933
117,0.007125,0.034083,0.995042,1.03625
118,0.013292,0.033833,1.03129,1.07842
119,0.007125,0.033833,1.03642,1.07737
