frame,input_ms,ui_ms,draw_ms,total_ms
0,0.013666,0.054,8.77567,8.84333
1,0.010292,0.052875,8.44908,8.51225
2,0.016833,0.078834,8.56738,8.66304
3,0.010042,0.053541,11.3572,11.4207
4,0.014,0.060375,8.25679,8.33117
5,0.011875,0.052208,8.36096,8.42504
6,0.012209,0.056083,8.33329,8.40158
7,0.009416,0.048542,9.03629,9.09425
8,0.012459,0.057166,8.79796,8.86758
9,0.011542,0.053125,8.9605,9.02517
10,0.012917,0.050417,9.01508,9.07842
11,0.009875,0.051792,8.25125,8.31292
12,0.015583,0.056,8.36763,8.43921
13,0.010875,0.058917,8.81254,8.88233
14,0.01525,0.052084,7.99304,8.06038
15,0.009833,0.052625,8.18583,8.24829
16,0.012375,0.050375,8.75788,8.82062
17,0.009458,0.051417,8.83808,8.89896
18,0.014166,0.055709,9.06825,9.13813
19,0.010084,0.058458,8.59792,8.66646
20,0.013416,0.057334,8.39079,8.46154
21,0.010167,0.053375,7.66292,7.72646
22,0.011917,0.051167,8.42733,8.49042
23,0.010041,0.055042,7.71012,7.77521
24,0.012667,0.058583,8.01208,8.08333
25,0.010125,0.053709,8.38346,8.44729
26,0.012084,0.052708,8.28508,8.34988
27,0.00975,0.050958,8.12708,8.18779
28,0.012208,0.050458,7.53463,7.59729
29,0.010375,0.049583,8.11679,8.17675
30,0.0115,0.0495,7.88162,7.94262
31,0.009875,0.051917,7.94017,8.00196
32,0.01125,0.047791,8.26471,8.32375
33,0.009458,0.051875,7.85933,7.92067
34,0.011375,0.047542,8.28054,8.33946
35,0.009,0.048458,8.23612,8.29358
36,0.011667,0.047833,7.74404,7.80354
37,0.010083,0.048125,8.41979,8.478
38,0.012458,0.05275,8.27333,8.33854
39,0.010291,0.049959,7.94333,8.00358
40,0.011084,0.061541,7.87396,7.94658
41,0.009791,0.051375,8.04979,8.11096
42,0.011542,0.049333,7.701,7.76187
43,0.009458,0.047375,7.56421,7.62104
44,0.011625,0.049292,8.29063,8.35154
45,0.0145,0.054042,8.23942,8.30796
46,0.014458,0.059292,8.93096,9.00471
47,0.012209,0.059208,8.01463,8.08604
48,0.011959,0.053416,7.67221,7.73758
49,0.013459,0.062041,7.45525,7.53075
50,0.011583,0.045792,8.38496,8.44233
51,0.009583,0.058375,7.72054,7.7885
52,0.0115,0.049917,8.20708,8.2685
53,0.010292,0.059208,7.79938,7.86888
54,0.015292,0.052917,7.773,7.84121
55,0.009542,0.051792,7.80663,7.86796
56,0.014292,0.06575,7.58208,7.66212
57,0.009334,0.051375,7.62271,7.68342
58,0.011666,0.048667,7.57188,7.63221
59,0.009,0.047542,8.27475,8.33129
60,0.011667,0.05,8.01804,8.07971
61,0.009459,0.048791,8.18437,8.24263
62,0.012167,0.051541,7.95717,8.02088
63,0.009292,0.047625,7.76217,7.81908
64,0.010875,0.048208,8.35779,8.41687
65,0.009209,0.04825,7.56392,7.62137
66,0.011375,0.048458,8.13487,8.19471
67,0.01,0.049833,7.67896,7.73879
68,0.013375,0.055375,7.78313,7.85187
69,0.0095,0.051709,7.52258,7.58379
70,0.010625,0.049167,7.54962,7.60942
71,0.009625,0.049333,7.42908,7.48804
72,0.011125,0.052041,8.02221,8.08538
73,0.009917,0.051167,7.67233,7.73342
74,0.018541,0.057875,8.00246,8.07888
75,0.009291,0.056167,8.24396,8.30942
76,0.012375,0.051208,8.03658,8.10017
77,0.0095,0.071042,8.107,8.18754
78,0.011083,0.048458,8.16996,8.2295
79,0.009917,0.052041,8.05979,8.12175
80,0.011875,0.04825,8.06971,8.12983
81,0.009125,0.048584,8.17604,8.23375
82,0.011833,0.048833,8.29717,8.35783
83,0.010167,0.051042,8.1125,8.17371
84,0.012125,0.050375,8.19438,8.25688
85,0.010167,0.049875,7.5625,7.62254
86,0.011292,0.04725,7.71383,7.77238
87,0.009292,0.051167,7.83129,7.89175
88,0.0115,0.047292,7.77542,7.83421
89,0.00925,0.049833,7.57917,7.63825
90,0.011875,0.047583,7.80067,7.86013
91,0.009333,0.049042,8.3425,8.40087
92,0.015458,0.061542,7.55767,7.63467
93,0.01075,0.05325,7.52121,7.58521
94,0.01375,0.083375,8.23783,8.33496
95,0.011667,0.057791,8.11621,8.18567
96,0.012917,0.084458,7.93225,8.02962
97,0.009375,0.049292,7.57842,7.63708
98,0.011167,0.047333,8.18279,8.24129
99,0.016084,0.057208,7.63321,7.7065
100,0.01475,0.04875,7.64604,7.70954
101,0.009541,0.047084,7.5115,7.56813
102,0.010875,0.045875,8.12988,8.18662
103,0.009417,0.049292,8.18846,8.24717
104,0.011084,0.046333,7.80804,7.86546
105,0.010083,0.053042,8.101,8.16413
106,0.015333,0.049667,7.52375,7.58875
107,0.008625,0.048375,8.39679,8.45379
108,0.011375,0.047709,8.35358,8.41267
109,0.008959,0.051083,8.44546,8.5055
110,0.012375,0.049417,8.36742,8.42921
111,0.01,0.049834,8.05162,8.11146
112,0.011542,0.05025,7.5545,7.61629
113,0.008958,0.045958,8.49846,8.55338
114,0.015416,0.057084,8.42054,8.49304
115,0.009458,0.051833,8.35804,8.41933
116,0.012041,0.051584,8.40263,8.46625
117,0.009834,0.052958,7.86896,7.93175
118,0.012167,0.052708,8.69175,8.75662
119,0.009875,0.054709,7.88321,7.94779
