frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,4.1e-05,0.097125,1.32196,0.408333,0.0005,1.82796
1,0,0.126958,1.70958,0.413375,0.000709,2.25062
2,4.2e-05,0.102417,1.41104,3.55317,0.000375,5.06704
3,0,0.109542,1.57633,0.406,0.0005,2.09238
4,0,0.101583,1.51358,0.387,0.000291,2.00246
5,0,0.093084,1.43204,0.392459,0.000416,1.918
6,4.1e-05,0.096209,1.81363,0.391541,0.000334,2.30175
7,0,0.095209,1.50846,0.467708,0.000917,2.07229
8,4.1e-05,0.123667,1.50529,1.44042,0.000459,3.06988
9,0,0.106667,1.47317,0.385041,0.000709,1.96558
10,0,0.106833,1.72479,0.432292,0.003291,2.26721
11,0,0.155709,1.42496,0.412292,0.000458,1.99342
12,0,0.110667,1.44046,0.403917,0.000291,1.95533
13,0,0.101209,1.76654,0.404,0.000375,2.27212
14,4.2e-05,0.098333,1.40771,0.556959,0.000583,2.06363
15,4.2e-05,0.167375,1.48537,0.389458,0.000292,2.04254
16,4.2e-05,0.1035,1.17771,0.362792,0.000375,1.64442
17,4.2e-05,0.093125,1.1785,0.383166,0.000334,1.65517
18,0,0.092709,1.764,0.405666,0.000459,2.26283
19,0,0.091709,1.34325,0.421125,0.0005,1.85658
20,0,0.136166,1.42613,0.502584,0.000375,2.06525
21,0,0.102375,1.20483,0.373291,0.000375,1.68087
22,0,0.091667,1.44242,0.386125,0.000334,1.92054
23,0,0.091583,1.1545,0.40775,0.000458,1.65429
24,0,0.11125,1.38983,0.396375,0.00025,1.89771
25,0,0.102166,1.17042,0.369958,0.000334,1.64288
26,0,0.091375,1.17696,0.523334,0.000416,1.79208
27,4.2e-05,0.121458,1.53025,0.382209,0.000416,2.03437
28,0,0.106416,1.22196,0.447541,0.000209,1.77612
29,0,0.116917,1.18637,0.382,0.000416,1.68571
30,0,0.103083,1.59408,0.3935,0.000375,2.09104
31,4.2e-05,0.100208,1.35571,0.380917,0.000125,1.837
