frame,input_simulation_ms,ui_ms,world_ms,screen_ms,display_ms,total_ms
0,0.019,0.101042,1.46054,0.384833,0.000167,1.96558
1,0.0175,0.092,1.12258,0.364375,0.000125,1.59658
2,0.0165,0.084125,1.10475,0.359167,0.000375,1.56492
3,0.015667,0.081625,1.11004,0.375667,0.000125,1.58312
4,0.017375,0.085458,1.2165,0.46075,0.000292,1.78038
5,0.022208,0.100625,1.32017,0.408833,0.000125,1.85196
6,0.018583,0.098875,1.18425,0.362792,0.000208,1.66471
7,0.016083,0.089459,1.13017,0.385542,0.000167,1.62142
8,0.017583,0.087292,1.12433,0.392084,0.000583,1.62187
9,0.01975,0.107708,1.13621,0.518708,0.001375,1.78375
10,0.025416,0.134875,1.22383,0.458083,0.00025,1.84246
11,0.018209,0.104541,1.17942,0.369333,0.00025,1.67175
12,0.017417,0.087625,1.13004,0.36425,0.000375,1.59971
13,0.016667,0.106125,1.21817,0.395334,0.000166,1.73646
14,0.017208,0.089,1.20429,0.438375,0.001041,1.74992
15,0.028958,0.172125,1.33617,0.365166,0.000167,1.90258
16,0.016625,0.087125,1.09763,0.518375,0.000167,1.71992
17,0.016041,0.084417,1.18013,0.374375,0.000208,1.65517
18,0.017459,0.097125,1.21546,0.375,0.000208,1.70525
19,0.016125,0.090084,1.31071,0.532458,0.000125,1.9495
20,0.018459,0.0945,1.38817,0.36475,8.4e-05,1.86596
21,0.016583,0.083584,1.11217,0.35775,0.000167,1.57025
22,0.016666,0.084042,1.11367,0.46275,0.000208,1.67733
23,0.018666,0.094334,1.31904,0.380709,0.000166,1.81292
24,0.017208,0.091709,1.44117,0.432084,0.001458,1.98362
25,0.017458,0.105834,1.18292,0.36825,0.000167,1.67463
26,0.016875,0.087291,1.1145,0.358709,0.000125,1.5775
27,0.015792,0.082292,1.10488,0.375041,0.000209,1.57821
28,0.016667,0.098875,1.20208,0.541625,0.000167,1.85942
29,0.018083,0.107209,1.59504,0.40525,0.000167,2.12575
30,0.017708,0.094625,1.18138,0.376833,0.000167,1.67071
31,0.016625,0.088792,1.14208,0.367833,0.00025,1.61558
32,0.016292,0.083042,1.23946,0.375042,0.000166,1.714
33,0.016125,0.087542,1.17242,0.410166,0.000209,1.68646
34,0.018417,0.106166,1.16067,0.371667,0.00025,1.65717
35,0.017084,0.095125,1.25717,0.376792,0.000208,1.74638
36,0.016875,0.092916,1.11088,0.355459,8.3e-05,1.57621
37,0.016375,0.08475,1.18988,0.360292,0.000208,1.6515
38,0.015875,0.09025,1.13204,0.382917,0.000291,1.62138
39,0.018166,0.097875,1.16083,0.364291,0.000209,1.64138
40,0.016,0.084042,1.36262,0.351167,0.000125,1.81396
41,0.0155,0.081791,1.22117,0.365292,0.000125,1.68388
42,0.016917,0.09375,1.2095,0.3825,0.000167,1.70283
43,0.01625,0.090208,1.19004,0.419,0.000417,1.71592
44,0.017625,0.095375,1.13242,0.365042,0.000208,1.61067
45,0.015833,0.084,1.10358,0.358458,0.000125,1.562
46,0.016333,0.085125,1.09192,0.357125,0.000125,1.55062
47,0.015333,0.0795,1.37683,0.456417,0.000333,1.92842
48,0.017292,0.093208,1.21983,0.390834,0.000125,1.72129
49,0.019291,0.093542,1.13729,0.363208,0.000208,1.61354
50,0.017333,0.09025,1.11025,0.350125,0.000208,1.56817
51,0.015625,0.081959,1.09629,0.355,4.2e-05,1.54892
52,0.015959,0.080041,1.20146,0.366416,0.000125,1.664
