frame,simulation_ms,ui_ms,render_ms,total_ms
0,11.8928,0.173375,3.21917,15.2853
1,13.2486,0.175333,2.28633,15.7103
2,11.528,0.171584,2.49375,14.1933
3,13.8254,0.171125,2.55592,16.5524
4,12.2502,0.170583,2.55004,14.9709
5,13.1698,0.182541,2.12283,15.4752
6,11.5449,0.175417,2.25029,13.9706
7,13.1217,0.158791,2.65304,15.9335
8,11.9837,0.163625,2.34883,14.4962
9,13.243,0.1715,2.145,15.5595
10,11.6148,0.220125,2.64979,14.4847
11,12.9778,0.165292,2.35346,15.4965
12,11.5363,0.160084,2.19583,13.8923
13,13.1245,0.166333,2.12592,15.4167
14,12.0181,0.1645,3.21129,15.3939
15,13.1246,0.179833,2.15313,15.4575
16,11.9181,0.186625,2.326,14.4307
17,12.9311,0.177375,2.26046,15.369
18,11.5838,0.167125,2.13313,13.884
19,13.9337,0.166541,2.16712,16.2673
20,11.5428,0.215667,2.59408,14.3526
21,13.0368,0.160709,2.27633,15.4739
22,11.589,0.160084,2.17075,13.9199
23,13.375,0.160166,2.62008,16.1552
24,12.3767,0.16175,2.58104,15.1195
25,13.2318,0.170959,2.25629,15.659
26,11.6055,0.162625,2.32762,14.0957
27,13.0728,0.17425,2.79033,16.0374
28,11.7454,0.160083,2.19142,14.0969
29,13.0865,0.1645,2.13767,15.3886
30,11.5232,0.176334,2.67067,14.3702
31,12.7924,0.162792,2.33967,15.2949
32,11.5545,0.162833,2.25121,13.9686
33,12.9789,0.158666,2.13617,15.2737
34,11.6006,0.16275,2.11388,13.8772
35,13.75,0.17725,2.72625,16.6535
36,11.8951,0.182667,2.73054,14.8083
37,13.3178,0.167416,2.50529,15.9905
38,11.7769,0.16325,2.14946,14.0896
39,13.2565,0.171917,2.15621,15.5846
40,11.413,0.2105,2.17821,13.8017
41,12.8292,0.167291,2.26167,15.2582
42,11.5016,0.159583,2.10354,13.7647
43,13.226,0.159166,3.19525,16.5804
44,12.3704,0.172667,2.17762,14.7207
45,12.9127,0.17125,2.14783,15.2318
46,11.6397,0.172167,2.79725,14.6091
47,12.8453,0.15825,2.26171,15.2653
48,12.1119,0.159167,2.68267,14.9537
49,13.2978,0.163125,2.09983,15.5608
50,11.4228,0.195583,2.76904,14.3874
51,12.9111,0.164416,2.836,15.9115
52,11.5052,0.160417,2.17404,13.8397
53,12.9107,0.166792,2.16237,15.2399
54,11.4772,0.1785,2.33183,13.9875
55,12.6931,0.160584,2.42437,15.278
56,12.7154,0.195959,2.29517,15.2065
57,13.1689,0.174916,2.40404,15.7478
58,12.1985,0.161708,2.14062,14.5008
59,12.9234,0.161708,2.16271,15.2478
60,11.6043,0.161416,2.52392,14.2896
61,13.0539,0.1775,2.22254,15.4539
62,11.4578,0.157625,2.118,13.7335
63,12.857,0.160583,2.16546,15.183
64,11.4605,0.173125,2.35846,13.9921
65,13.3503,0.169417,3.04929,16.569
66,12.2781,0.193334,2.55138,15.0228
67,13.4204,0.165791,2.37804,15.9642
68,12.3206,0.166584,2.25221,14.7394
69,12.91,0.161459,2.13333,15.2048
70,11.2534,0.163167,2.68463,14.1012
71,12.9449,0.16925,2.73346,15.8476
72,12.2862,0.168542,2.24946,14.7042
73,13.1363,0.161167,2.62221,15.9197
74,12.0337,0.167625,2.56975,14.771
75,13.05,0.172459,2.57546,15.7979
76,11.4367,0.164084,2.23612,13.837
77,12.4602,0.166208,2.31008,14.9365
78,12.113,0.16775,2.52533,14.806
79,12.7945,0.160167,2.10125,15.0559
80,11.5405,0.16425,2.79642,14.5011
81,12.6682,0.171958,2.22242,15.0625
82,11.2372,0.158625,2.13471,13.5305
83,13.2233,0.168167,2.79446,16.1859
84,12.0661,0.163542,2.61008,14.8397
85,12.86,0.186,2.67092,15.717
86,11.6958,0.185875,2.75513,14.6368
87,12.48,0.158,2.19175,14.8298
88,11.5223,0.175625,2.24375,13.9417
89,12.9063,0.167291,2.14483,15.2185
90,12.176,0.184084,2.62954,14.9896
91,13.4047,0.167833,2.82613,16.3986
92,11.5606,0.159916,2.12346,13.844
93,12.5276,0.164208,2.12992,14.8217
94,11.3125,0.164833,2.42058,13.8979
95,12.5002,0.234292,2.23575,14.9703
96,11.3025,0.165291,2.11388,13.5816
97,12.7457,0.162,2.11692,15.0246
98,11.092,0.219125,2.22329,13.5344
99,12.3016,0.156666,2.11788,14.5762
100,11.8987,0.167,2.74058,14.8063
101,12.7694,0.1585,2.13229,15.0602
102,12.5877,0.193417,2.54937,15.3305
103,15.3661,0.1885,3.01933,18.5739
104,13.0762,0.206875,2.50158,15.7847
105,13.1521,0.169583,2.78529,16.107
106,11.3507,0.158584,2.33617,13.8454
107,12.5968,0.161708,2.1185,14.877
108,12.9232,0.208416,2.66704,15.7987
109,13.3728,0.181,2.58158,16.1354
110,11.6934,0.217125,2.62671,14.5372
111,12.8473,0.170958,2.37808,15.3964
112,11.5747,0.170208,2.1445,13.8895
113,12.9361,0.177167,2.52363,15.6369
114,11.8662,0.179292,2.18233,14.2278
115,12.7155,0.195084,2.74958,15.6602
116,11.9031,0.165083,2.28279,14.351
117,12.7175,0.167208,2.34171,15.2264
118,12.3784,0.170667,2.33937,14.8885
119,13.4199,0.167208,2.28692,15.874
120,12.258,0.189708,2.35421,14.8019
121,13.234,0.163458,2.33442,15.7318
122,11.6419,0.162833,2.21283,14.0176
123,14.0715,0.1735,2.81592,17.061
124,12.8513,0.171042,2.71925,15.7416
125,13.4463,0.173375,2.19571,15.8154
126,12.3201,0.173917,2.25683,14.7508
127,12.726,0.181209,2.46771,15.3749
128,11.5635,0.173125,2.455,14.1917
129,13.3046,0.177625,2.99783,16.48
130,11.9964,0.196292,2.58046,14.7732
131,12.6147,0.163291,2.08137,14.8593
132,11.4655,0.194042,2.22771,13.8872
133,12.6032,0.17575,2.23746,15.0164
134,11.6831,0.161208,2.24658,14.0909
135,12.7331,0.16025,2.09483,14.9882
136,12.3233,0.182625,2.28404,14.79
137,12.535,0.175625,2.26587,14.9765
138,11.8462,0.1825,2.66562,14.6943
139,14.1941,0.192792,2.59183,16.9787
140,13.9957,0.18475,2.61704,16.7975
141,15.5925,0.190625,2.44854,18.2316
142,14.0162,0.214542,2.53967,16.7705
