frame,input_ms,ui_ms,draw_ms,total_ms
0,0.024833,0.108292,9.31004,9.44317
1,0.015,0.075666,8.46667,8.55733
2,0.017,0.085958,9.2765,9.37946
3,0.0155,0.073167,16.6878,16.7764
4,0.018375,0.06925,8.49246,8.58008
5,0.011959,0.058625,8.59608,8.66667
6,0.014125,0.057459,9.14508,9.21667
7,0.01175,0.058167,8.47475,8.54467
8,0.014042,0.060416,8.88525,8.95971
9,0.011083,0.055667,8.47529,8.54204
10,0.014292,0.054416,8.91125,8.97996
11,0.01075,0.055375,8.93175,8.99788
12,0.014833,0.055875,8.56108,8.63179
13,0.013125,0.06175,9.3115,9.38637
14,0.013167,0.058958,9.19704,9.26917
15,0.011,0.068792,9.31917,9.39896
16,0.015125,0.061917,8.52442,8.60146
17,0.011292,0.057417,9.3465,9.41521
18,0.013708,0.059625,7.75621,7.82954
19,0.009917,0.050125,8.13921,8.19925
20,0.01525,0.057375,7.60892,7.68154
21,0.011084,0.058166,8.04012,8.10938
22,0.013333,0.057708,8.07296,8.144
23,0.011792,0.056,7.43646,7.50425
24,0.013083,0.055708,7.44729,7.51608
25,0.018458,0.047125,8.03354,8.09913
26,0.016916,0.079084,7.91463,8.01062
27,0.010083,0.053792,7.81033,7.87421
28,0.012583,0.05025,7.62504,7.68788
29,0.009875,0.050333,7.67546,7.73567
30,0.012458,0.050208,7.50413,7.56679
31,0.009833,0.048584,7.91829,7.97671
32,0.011709,0.051916,8.12813,8.19175
33,0.010292,0.052833,7.81258,7.87571
34,0.012041,0.053167,8.12396,8.18917
35,0.010084,0.053708,7.49604,7.55983
36,0.011417,0.051416,8.03363,8.09646
37,0.010083,0.0535,7.85946,7.92304
38,0.020416,0.05575,7.52875,7.60492
39,0.01075,0.056917,8.24788,8.31554
40,0.013291,0.05675,8.04083,8.11088
41,0.01175,0.066417,8.07758,8.15575
42,0.015125,0.056791,7.59262,7.66454
43,0.010042,0.0515,8.07137,8.13292
44,0.012167,0.051291,8.11404,8.1775
45,0.014458,0.050667,7.36221,7.42733
46,0.011,0.047792,8.285,8.34379
47,0.012584,0.068875,8.11758,8.19904
48,0.012334,0.051208,7.88987,7.95342
49,0.009833,0.053125,7.53208,7.59504
50,0.012167,0.049,8.19717,8.25833
51,0.009917,0.051291,7.60521,7.66642
52,0.011875,0.047917,7.79871,7.8585
53,0.009542,0.048917,8.13192,8.19037
54,0.011958,0.054709,7.92817,7.99483
55,0.009667,0.048375,7.93604,7.99408
56,0.012458,0.056542,7.48021,7.54921
57,0.009542,0.050625,7.70479,7.76496
58,0.011542,0.0525,7.72292,7.78696
59,0.0095,0.052417,8.21729,8.27921
60,0.013042,0.061375,7.73925,7.81367
61,0.01,0.053416,8.20467,8.26808
62,0.012042,0.052583,7.73967,7.80429
63,0.0125,0.060417,7.48083,7.55375
64,0.010459,0.046208,8.07229,8.12896
65,0.009833,0.050417,8.23308,8.29333
66,0.018291,0.050334,7.41188,7.4805
67,0.009584,0.0465,7.63129,7.68738
68,0.010959,0.046958,8.20867,8.26658
69,0.01075,0.053125,7.56037,7.62425
70,0.011917,0.049375,8.16504,8.22633
71,0.01025,0.049542,8.10446,8.16425
72,0.012042,0.049291,7.94825,8.00958
73,0.010292,0.049666,7.65925,7.71921
74,0.012,0.049292,7.96454,8.02583
75,0.009708,0.048042,7.73983,7.79758
76,0.012042,0.051083,7.80492,7.86804
77,0.009625,0.05125,7.65988,7.72075
78,0.01425,0.051666,8.0475,8.11342
79,0.01,0.0515,7.56471,7.62621
80,0.015041,0.052084,7.41792,7.48504
81,0.011,0.050542,8.29267,8.35421
82,0.013583,0.066833,8.09242,8.17283
83,0.013,0.0635,7.49342,7.56992
84,0.012208,0.048667,7.52483,7.58571
85,0.0125,0.069167,7.69771,7.77937
86,0.011708,0.05375,7.58942,7.65487
87,0.009667,0.047666,8.03371,8.09104
88,0.012,0.049416,7.49233,7.55375
89,0.009417,0.046792,8.34788,8.40408
90,0.012125,0.050042,7.67662,7.73879
91,0.012583,0.05275,7.72037,7.78571
92,0.011167,0.0475,8.009,8.06767
93,0.009542,0.0495,8.1675,8.22654
94,0.011208,0.050959,8.19179,8.25396
95,0.010292,0.049333,8.26496,8.32458
96,0.012166,0.048292,7.86404,7.9245
97,0.010916,0.051042,8.15979,8.22175
98,0.012333,0.050667,7.55625,7.61925
99,0.009125,0.048166,7.45571,7.513
100,0.017084,0.046291,7.42675,7.49012
101,0.009459,0.050791,7.56929,7.62954
102,0.011833,0.051417,8.2135,8.27675
103,0.010667,0.050917,7.686,7.74758
104,0.012334,0.054041,7.88971,7.95608
105,0.010625,0.053833,8.08142,8.14588
106,0.014458,0.062667,8.06979,8.14692
107,0.0095,0.063667,8.09062,8.16379
108,0.012791,0.068584,8.07021,8.15158
109,0.009125,0.047458,8.05658,8.11317
110,0.012083,0.048375,7.52679,7.58725
111,0.009125,0.044292,7.63508,7.6885
112,0.012792,0.049583,7.51896,7.58133
113,0.009833,0.048334,7.77196,7.83012
114,0.010875,0.046709,7.58563,7.64321
115,0.009167,0.046917,7.81071,7.86679
116,0.010875,0.054,8.23621,8.30108
117,0.009833,0.052,7.64883,7.71067
118,0.012584,0.057625,8.29592,8.36613
119,0.009917,0.048792,8.02421,8.08292
