frame,input_ms,ui_ms,draw_ms,total_ms
0,0.009375,0.035083,0.971083,1.01554
1,0.007541,0.033959,0.970875,1.01238
2,0.009791,0.034125,1.01983,1.06375
3,0.007625,0.039041,2.6315,2.67817
4,0.011,0.051666,0.969875,1.03254
5,0.007584,0.038125,0.946625,0.992334
6,0.010167,0.034375,0.937167,0.981709
7,0.007208,0.034042,0.928166,0.969416
8,0.008916,0.042042,0.9675,1.01846
9,0.007042,0.033291,0.94325,0.983583
10,0.009166,0.033584,0.970875,1.01362
11,0.007375,0.035875,1.40758,1.45083
12,0.010208,0.042917,0.937208,0.990333
13,0.007333,0.034292,0.965666,1.00729
14,0.009125,0.037292,0.935417,0.981834
15,0.006958,0.033333,0.95175,0.992041
16,0.009125,0.034625,0.971875,1.01562
17,0.007041,0.033584,0.919875,0.9605
18,0.008833,0.033167,1.13288,1.17487
19,0.007667,0.040625,1.06579,1.11408
20,0.014166,0.055042,0.894542,0.96375
21,0.007,0.034958,0.873042,0.915
22,0.010417,0.033333,0.95275,0.9965
23,0.007,0.033625,0.962833,1.00346
24,0.008625,0.033208,0.956167,0.998
25,0.006875,0.033417,0.959208,0.9995
26,0.009,0.036125,0.959208,1.00433
27,0.007834,0.042875,0.960083,1.01079
28,0.012791,0.050792,0.897792,0.961375
29,0.0105,0.038,0.85925,0.90775
30,0.008917,0.033792,0.914833,0.957542
31,0.006917,0.033916,0.876084,0.916917
32,0.008458,0.033042,0.886208,0.927708
33,0.006834,0.033333,1.06658,1.10675
34,0.008791,0.033709,0.879583,0.922083
35,0.006791,0.033042,0.921667,0.9615
36,0.008917,0.035416,0.952167,0.9965
37,0.007125,0.034625,0.871166,0.912916
38,0.008791,0.033584,0.893041,0.935416
39,0.006917,0.033333,0.85825,0.8985
40,0.008417,0.033417,0.954041,0.995875
41,0.006875,0.033375,0.876375,0.916625
42,0.008625,0.033167,0.887208,0.929
43,0.006958,0.032958,0.86775,0.907666
44,0.008666,0.038167,0.921083,0.967916
45,0.008917,0.036708,1.04883,1.09446
46,0.009417,0.035708,0.874667,0.919792
47,0.006917,0.033541,0.946417,0.986875
48,0.008541,0.033917,0.879333,0.921791
49,0.006792,0.033125,0.887791,0.927708
50,0.008625,0.033125,0.8905,0.93225
51,0.006833,0.036667,0.882375,0.925875
52,0.009458,0.033667,0.876292,0.919417
53,0.008875,0.036792,1.01229,1.05796
54,0.012917,0.042417,0.885791,0.941125
55,0.007459,0.034458,0.969542,1.01146
56,0.009125,0.033375,0.898334,0.940834
57,0.006875,0.033709,0.881125,0.921709
58,0.009042,0.033167,0.8695,0.911709
59,0.007,0.03325,0.925709,0.965959
60,0.0085,0.033083,0.871167,0.91275
61,0.006875,0.032625,0.898166,0.937666
62,0.009333,0.035917,1.16808,1.21333
63,0.008209,0.040875,0.955416,1.0045
64,0.009042,0.0385,0.884291,0.931833
65,0.007084,0.037583,0.910333,0.955
66,0.009166,0.035,0.891167,0.935333
67,0.006875,0.033083,0.903708,0.943666
68,0.008666,0.034125,0.886959,0.92975
69,0.006833,0.033334,0.971333,1.0115
70,0.008625,0.0335,0.985375,1.0275
71,0.008,0.042125,1.01542,1.06554
72,0.008958,0.040667,0.899667,0.949292
73,0.006833,0.034125,0.884417,0.925375
74,0.008792,0.033125,0.873041,0.914958
75,0.007542,0.03325,0.881125,0.921917
76,0.008625,0.032958,0.907083,0.948666
77,0.006791,0.032875,0.951875,0.991541
78,0.0085,0.033166,0.909584,0.95125
79,0.007208,0.03725,0.94475,0.989208
80,0.009458,0.0395,0.936542,0.9855
81,0.0075,0.060417,0.898125,0.966042
82,0.0085,0.033375,0.898958,0.940833
83,0.006917,0.032833,0.871167,0.910917
84,0.008417,0.032917,0.971833,1.01317
85,0.007166,0.033709,0.917625,0.9585
86,0.008542,0.032875,0.900625,0.942042
87,0.00675,0.032917,0.954958,0.994625
88,0.008833,0.036209,0.929833,0.974875
89,0.006917,0.03375,0.905333,0.946
90,0.008584,0.032875,0.894625,0.936084
91,0.006959,0.033041,0.975292,1.01529
92,0.008667,0.033375,0.917542,0.959584
93,0.00675,0.035292,0.893667,0.935709
94,0.0085,0.033125,0.903125,0.94475
95,0.00675,0.032875,0.881,0.920625
96,0.008542,0.033708,1.04171,1.08396
97,0.007708,0.039042,0.926583,0.973333
98,0.008917,0.03475,0.888833,0.9325
99,0.009208,0.033209,1.01367,1.05608
100,0.008708,0.033542,0.932125,0.974375
101,0.006875,0.0335,0.8925,0.932875
102,0.0085,0.032875,0.903792,0.945167
103,0.00675,0.032666,0.907917,0.947333
104,0.008708,0.038667,0.948,0.995375
105,0.007208,0.035167,1.00333,1.04571
106,0.00875,0.040334,1.04583,1.09492
107,0.007916,0.035209,0.908708,0.951833
108,0.008458,0.033125,0.905292,0.946875
109,0.006917,0.033291,0.899417,0.939625
110,0.008708,0.032792,0.913291,0.954791
111,0.00675,0.040666,0.900917,0.948333
112,0.008541,0.032584,0.885833,0.926958
113,0.006709,0.03825,1.09563,1.14058
114,0.01,0.046875,0.972625,1.0295
115,0.00725,0.03625,0.897583,0.941083
116,0.008708,0.033667,0.913208,0.955583
117,0.00675,0.032916,0.895709,0.935375
118,0.017292,0.033166,0.924334,0.974792
119,0.006958,0.033583,0.91475,0.955291
