frame,simulation_ms,ui_ms,render_ms,total_ms
0,12.6889,0.238291,3.44108,16.3683
1,14.2503,0.194666,2.30008,16.7451
2,11.801,0.196,2.94454,14.9416
3,14.2567,0.236833,3.26479,17.7583
4,12.2026,0.227625,3.01775,15.448
5,13.8285,0.219125,2.51417,16.5618
6,12.1282,0.177625,2.4775,14.7834
7,14.5219,0.24175,2.94246,17.7061
8,12.5428,0.172625,2.676,15.3915
9,13.8963,0.1815,2.627,16.7048
10,12.7664,0.231833,2.99621,15.9944
11,13.8194,0.181458,2.45288,16.4537
12,12.5601,0.197125,2.17817,14.9354
13,14.116,0.168334,2.18508,16.4694
14,12.6864,0.245333,3.46258,16.3943
15,14.2707,0.190583,2.18887,16.6501
16,12.593,0.324583,2.37913,15.2967
17,14.1909,0.209375,2.42529,16.8255
18,13.0599,0.259167,2.52658,15.8457
19,14.1239,0.242208,2.63304,16.9992
20,12.0533,0.207625,2.77271,15.0336
21,13.8325,0.214917,2.46188,16.5093
22,12.1283,0.180292,2.3795,14.6881
23,13.607,0.18075,2.83508,16.6228
24,12.5031,0.172666,2.55417,15.2299
25,13.4075,0.200958,2.34104,15.9495
26,11.8284,0.2185,2.37783,14.4247
27,13.659,0.19775,2.71367,16.5704
28,12.1073,0.197125,2.29829,14.6027
29,12.7538,0.170125,2.41354,15.3375
30,11.7911,0.1785,2.44854,14.4181
31,13.0646,0.203875,2.39554,15.664
32,11.5919,0.205291,2.43192,14.2291
33,13.0602,0.203958,2.26542,15.5296
34,11.6143,0.176958,2.06746,13.8587
35,14.3512,0.182917,2.60104,17.1351
36,12.5713,0.174334,2.53879,15.2844
37,13.8255,0.179625,2.28367,16.2888
38,11.599,0.208542,2.40537,14.213
39,12.9297,0.19675,2.32867,15.4551
40,11.5141,0.167542,2.31196,13.9936
41,13.1616,0.171917,2.11421,15.4477
42,12.1715,0.170708,2.14746,14.4897
43,13.2376,0.1855,3.01683,16.44
44,11.9991,0.196708,2.30321,14.499
45,12.886,0.296166,2.27833,15.4605
46,12.0329,0.169583,2.51708,14.7196
47,13.4775,0.168125,2.11537,15.761
48,12.2507,0.167375,2.64692,15.065
49,13.2192,0.193125,2.14717,15.5595
50,11.6829,0.195959,2.64558,14.5244
51,12.9705,0.164416,2.96779,16.1027
52,11.9277,0.164458,2.07088,14.163
53,13.2964,0.168667,2.19571,15.6608
54,12.1028,0.181083,2.57967,14.8636
55,13.2105,0.2285,2.60404,16.0431
56,12.9863,0.175833,2.56458,15.7267
57,13.6274,0.19025,2.44254,16.2602
58,12.2331,0.172459,2.62608,15.0317
59,13.0701,0.167042,2.31025,15.5474
60,12.0018,0.16675,2.24825,14.4168
61,13.255,0.2145,2.25796,15.7275
62,12.0048,0.20125,2.58058,14.7866
63,13.4913,0.219958,2.58933,16.3006
64,12.2156,0.174333,2.71117,15.1011
65,13.835,0.179792,3.218,17.2328
66,12.7925,0.187583,2.81608,15.7962
67,13.6164,0.178,2.48,16.2744
68,12.2407,0.186083,2.28487,14.7117
69,13.5188,0.173,2.12917,15.821
70,11.5419,0.18875,2.78721,14.5179
71,13.1526,0.193125,3.25671,16.6024
72,12.5173,0.1935,2.32771,15.0385
73,12.972,0.166125,3.01087,16.149
74,12.1911,0.166792,2.76621,15.1241
75,13.176,0.168459,2.54521,15.8896
76,12.0668,0.169583,2.13088,14.3673
77,12.7088,0.198125,2.61238,15.5192
78,11.6649,0.230041,3.01121,14.9062
79,12.7064,0.17025,2.38754,15.2642
80,12.0773,0.166125,2.47771,14.7211
81,13.2312,0.174875,2.10933,15.5154
82,11.4016,0.234583,2.385,14.0212
83,12.8943,0.183333,3.03288,16.1105
84,11.9998,0.163125,2.89104,15.054
85,13.1056,0.164125,2.79417,16.0639
86,12.3578,0.16525,2.50346,15.0265
87,13.2032,0.169708,2.09713,15.47
88,11.4067,0.217125,2.60683,14.2307
89,12.663,0.1855,2.30683,15.1554
90,12.3073,0.166417,2.72262,15.1964
91,13.9832,0.167208,2.98258,17.133
92,11.6069,0.16725,2.08712,13.8613
93,12.9019,0.176042,2.15754,15.2355
94,11.6014,0.179125,2.59708,14.3776
95,12.7821,0.225208,2.3085,15.3158
96,11.5329,0.182417,2.12321,13.8385
97,12.8978,0.177709,2.26208,15.3376
98,11.3013,0.192,2.58129,14.0746
99,12.6557,0.200833,2.34375,15.2003
100,11.7283,0.169667,3.10021,14.9982
101,12.805,0.174958,2.08146,15.0614
102,11.8736,0.170875,2.11925,14.1638
103,12.8333,0.182417,2.9065,15.9222
104,11.4755,0.16775,2.42421,14.0674
105,12.986,0.166458,2.84458,15.9971
106,11.8015,0.168208,2.24487,14.2145
107,12.7529,0.178584,2.20692,15.1384
108,12.4681,0.177875,2.87354,15.5195
109,13.09,0.186209,2.893,16.1692
110,11.7118,0.166292,2.69467,14.5727
111,12.6978,0.169,2.35692,15.2237
112,11.8765,0.172625,2.12633,14.1754
113,12.8538,0.181,2.76933,15.8042
114,11.4533,0.21275,2.33717,14.0032
115,12.949,0.176375,2.83479,15.9601
116,11.7927,0.173958,2.05737,14.024
117,12.85,0.170708,2.26083,15.2815
118,11.5279,0.175125,2.49192,14.195
119,12.4275,0.286583,2.31804,15.0322
120,11.8358,0.165084,2.11621,14.1171
121,13.1008,0.170167,2.1025,15.3735
122,11.4143,0.202417,2.43667,14.0534
123,13.6074,0.184333,3.15225,16.944
124,12.1839,0.192917,2.84108,15.2179
125,12.5558,0.168083,2.38058,15.1045
126,11.7735,0.180583,2.10479,14.0588
127,12.7697,0.177208,2.10871,15.0556
128,11.3009,0.2625,2.37779,13.9412
129,12.8528,0.166041,3.16917,16.188
130,12.0198,0.165833,2.56137,14.747
131,12.7816,0.177542,2.09179,15.051
132,11.525,0.1875,2.44188,14.1544
133,12.4467,0.190542,2.222,14.8592
134,11.5698,0.164792,2.20554,13.9402
135,14.548,0.176333,2.69642,17.4207
136,12.8219,0.170958,2.092,15.0849
137,12.8923,0.171,2.13417,15.1975
138,11.7593,0.181625,2.84767,14.7886
139,12.6358,0.194875,2.29904,15.1297
140,11.448,0.164583,2.35067,13.9633
141,13.5164,0.17475,2.07925,15.7704
142,11.8172,0.181292,2.12513,14.1236
143,12.3131,0.199834,2.31413,14.827
144,11.7737,0.164292,2.79633,14.7344
145,12.7761,0.164917,2.135,15.076
146,11.8162,0.20225,2.30871,14.3271
147,12.4812,0.176792,2.60242,15.2605
148,11.0887,0.201917,2.45033,13.741
149,12.9926,0.180875,2.75067,15.9242
150,12.4472,0.182167,2.51096,15.1403
151,13.0493,0.166,2.57987,15.7951
152,11.9978,0.214292,3.32404,15.5362
153,12.9762,0.213542,2.98079,16.1705
154,11.6728,0.228208,2.27483,14.1759
155,12.6681,0.172917,2.34879,15.1898
156,11.9127,0.18325,2.15667,14.2526
157,12.5413,0.187708,2.57325,15.3023
158,11.9068,0.198542,2.94017,15.0455
159,12.9909,0.269167,2.96367,16.2237
160,11.575,0.167208,2.25242,13.9947
161,12.5135,0.174166,2.12879,14.8165
162,11.6659,0.206375,2.18054,14.0528
163,12.528,0.186208,2.49458,15.2088
164,11.9396,0.164834,2.9295,15.0339
165,13.2329,0.165875,2.75042,16.1492
166,12.0175,0.165459,2.14721,14.3301
167,13.3303,0.173834,2.13508,15.6393
168,11.2825,0.191292,2.40029,13.874
169,12.2618,0.167167,2.75829,15.1873
170,12.2112,0.16475,2.47983,14.8558
171,12.813,0.166167,2.12087,15.1001
172,11.4385,0.180833,2.48608,14.1055
173,12.4465,0.19425,2.37038,15.0112
174,11.4567,0.1655,2.36437,13.9866
175,12.5971,0.171208,2.12462,14.8929
176,11.257,0.182125,2.36912,13.8082
177,12.3736,0.166917,2.33242,14.8729
178,12.0419,0.167958,2.52346,14.7333
179,13.0456,0.19875,2.15354,15.3979
